Filename,Document Name,Document Name-Answer,Parties,Parties-Answer,Agreement Date,Agreement Date-Answer,Effective Date,Effective Date-Answer,Expiration Date,Expiration Date-Answer,Renewal Term,Renewal Term-Answer,Notice Period To Terminate Renewal,Notice Period To Terminate Renewal- Answer,Governing Law,Governing Law-Answer
VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT.PDF,['SPONSORSHIP AGREEMENT'],SPONSORSHIP AGREEMENT,"['Excite', 'Excite, Inc.', 'Client', 'Vitamin Shoppe Industries Inc.']","Excite, Inc. (""Excite""); Vitamin Shoppe Industries Inc. (""Client"")",['23rd day of September 1998'],9/23/98,['23rd day of September 1998'],9/23/98,"['Unless terminated earlier in accordance with the                           specific terms of this Agreement, the term of this                           Agreement will begin on the Launch Date and will not                           end until Excite displays a total of [*****]                           impressions of the Client advertising banners and                           promotional placements on the Excite Network as                           described in this Agreement and pushes [*****]                           emails using the email vehicles specified in Exhibit                           B']",,[],,[],,"['This Agreement will be governed by                           and construed in accordance with the laws of the                           State of California, notwithstanding the actual state                           or country of residence or incorporation of Excite or                           Client.']",California
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.PDF,['OUTSOURCING AGREEMENT'],OUTSOURCING AGREEMENT,"['Twin Cities Power Holdings, LLC', 'Company', 'Contractor', 'Redwater LLC']","Twin Cities Power Holdings, LLC (""Company""); Redwater LLC (""Contractor"")","['this  day of , 2012']",[]/[]/2012,"['this  day of , 2012<omitted>This Agreement shall become effective as of the date first set forth above, and shall  continue in full force and effect until terminated as provided below.']",[]/[]/2012,"[""The services described herein to be provided by Agency shall begin upon execution and delivery of the  Outsourcing Agreement and shall continue until termination of Contractor's activities to administer the Notes thereunder."", 'This Agreement shall become effective as of the date first set forth above, and shall  continue in full force and effect until terminated as provided below.']",perpetual,[],,[],,"['This Agreement shall be governed by and construed in accordance with the laws of the State of  Minnesota, without regard to conflict of law principles.']",Minnesota
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.PDF,['Outsourcing Agreement'],Outsourcing Agreement,"['Virtual Item Processing Systems, Inc.', 'BNL', 'VIP', 'Brokers National Life Assurance Company']","Virtual Item Processing Systems, Inc. (""VIP""); Brokers National Life Assurance Company (""BNL"")",['1 st  day of May 2006'],5/1/06,"['The initial term (""Initial Term"") of this Agreement shall be for one year commencing on the 1st day of May, 2006 (""Effective Date"").']",5/1/06,"['The initial term (""Initial Term"") of this Agreement shall be for one year commencing on the 1st day of May, 2006 (""Effective Date"").']",5/1/07,"['Unless either party gives written notice to terminate this Agreement at least six (6) months prior to the end of said Initial Term, this Agreement shall continue on a year to year basis (""Extended Term(s)"") until terminated by either party by giving written notice of termination thereof to the other party at least six (6) months prior to the end of the then current Extended Term.']",successive 1 year,"['Unless either party gives written notice to terminate this Agreement at least six (6) months prior to the end of said Initial Term, this Agreement shall continue on a year to year basis (""Extended Term(s)"") until terminated by either party by giving written notice of termination thereof to the other party at least six (6) months prior to the end of the then current Extended Term.']",6 months,['This Agreement and performance hereunder shall be governed by the laws of the State of Oklahoma without regard to conflict of laws.'],Oklahoma
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.PDF,['Services Outsourcing Agreement'],Services Outsourcing Agreement,"['CCA Industries, Inc.', 'Emerson HealthCare, LLC', 'Company', 'Contractor']","CCA Industries, Inc. (""Company""); Emerson HealthCare, LLC (""Contractor"")","['January 20, 2014']",1/20/14,"['This agreement shall commence on January 20, 2014 (the ""Effective Date"") and shall continue in effect for six (6) months (the ""Initial Term"").']",1/20/14,"['This agreement shall commence on January 20, 2014 (the ""Effective Date"") and shall continue in effect for six (6) months (the ""Initial Term"").']",7/20/14,"[""This agreement shall automatically renew for successive six (6) month periods unless written notice is provided of either party's intent not to renew at least six (6) months before the end of the then-current term.""]",successive 6 months,"[""This agreement shall automatically renew for successive six (6) month periods unless written notice is provided of either party's intent not to renew at least six (6) months before the end of the then-current term.""]",6 months,"['This Agreement shall be deemed to have been entered into in the State of New Jersey, and shall be construed and interpreted in accordance with the laws of that State applicable to agreements made and to be performed in the State of New Jersey.']",New Jersey
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.PDF,['Network Management Outsourcing Agreement'],Network Management Outsourcing Agreement,"['DATEC (PNG) LIMITED', 'Bank of South Pacific Ltd', 'BANK OF SOUTH PACIFIC LIMITED', 'PNG', 'Datec PNG Limited', 'BSP', 'Datec']","(BANK OF SOUTH PACIFIC LIMITED (""BSP"" or ""Bank of South Pacific Ltd""); DATEC (PNG) LIMITED (""Datec PNG Limited"" or ""Datec"" or ""PNG""))",['The commencement date for this contract will be 16th June 2004.'],6/16/04,['The commencement date for this contract will be 16th June 2004.'],6/16/04,['The initial term of the contracted agreement is 5 years from the commencement date.'],6/16/09,['The BSP then have the option to renew the agreement for another 5 years subject to any restructuring of the agreement as required by the parties.'],5 years,[],,['This agreement will be construed in accordance with the laws of Papua New Guinea and the parties submit to the non-exclusive jurisdiction of the National Court of Papua New Guinea.'],Papua New Guinea
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.PDF,['MANUFACTURING OUTSOURCING AGREEMENT'],MANUFACTURING OUTSOURCING AGREEMENT,"['CONTRACTOR', 'Nice Systems Ltd.', 'NICE', 'Flextronics Israel Ltd.']","Nice Systems Ltc. (""NICE""); Flextronics Israel Ltd. (""CONTRACTOR"")","['January 21st, 2002']",1/21/02,"['January 21st, 2002']",1/21/02,"['The initial term of this Agreement shall           commence on the Effective Date and extend for three (3) years           thereafter (""INITIAL TERM""), with an automatic renewal for an           indefinite period of time (""EXTENDED TERM""), unless terminated by the           parties according to Sections 16.2. or 16.3. herein.']",1/21/05,"['The initial term of this Agreement shall           commence on the Effective Date and extend for three (3) years           thereafter (""INITIAL TERM""), with an automatic renewal for an           indefinite period of time (""EXTENDED TERM""), unless terminated by the           parties according to Sections 16.2. or 16.3. herein.']",3 years,"['Notwithstanding the aforesaid in Section 16.1. and any possible           implication to the contrary herein or as a result of the course of           conduct of the parties, Contractor shall be entitled, at its sole           discretion, to terminate this Agreement only during the Extended Term,           with or without cause, upon a prior written notice of termination to           NICE of not less than six (6) months.']",6 months,"['This Agreement shall be governed by and           construed in accordance with the laws of the state of Israel, without           giving effect to choice of law rules.']",Israel
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT.PDF,['OUTSOURCING AGREEMENT'],OUTSOURCING AGREEMENT,"['Sykes HealthPlan Services, Inc.', 'HealthPlan Services, Inc.', 'SHPS', 'HPS']","Sykes HealthPlan Services, Inc. (""SHPS""); HealthPlan Services, Inc. (""HFS"")","['January 1, 1998']",1/1/98,"['January 1, 1998']",1/1/98,"['The term of this Agreement will commence on January 1, 1998 (the ""Effective Date"") and will end on December 31, 1998.']",12/31/98,"[""Unless either party gives the other at least ninety days' prior written notice that it has elected not to extend the term of this Agreement beyond December 31, 1998, the term of this Agreement will be automatically extended until December 31, 1999."", 'Thereafter this Agreement will automatically be renewed for successive additional periods of one year, unless either party gives notice of cancellation on or before October 1 of any such year.']",successive 1 year,"[""Unless either party gives the other at least ninety days' prior written notice that it has elected not to extend the term of this Agreement beyond December 31, 1998, the term of this Agreement will be automatically extended until December 31, 1999."", 'Thereafter this Agreement will automatically be renewed for successive additional periods of one year, unless either party gives notice of cancellation on or before October 1 of any such year.']",90 days,"['This Agreement shall be governed by and construed in accordance with the laws, other than choice of law rules, of the state of Florida.']",Florida
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT.PDF,['Outsourcing Agreement'],Outsourcing Agreement,"['Customer', 'Marshall & Ilsley Corporation', 'M&I', 'Tri City National Bank']","Tri City National Bank (""Customer""); Marshall & Ilsley Corporation (""M&I"")","['16th day of February, 1998']",2/16/98,"['""Effective Date"" shall mean February 16, 1998']",2/16/98,"['""Term"" shall mean the period commencing on the Effective Date and terminating on the eighth anniversary of the Commencement Date, unless the Agreement is extended in accordance with its provisions.']",11/16/06,"['If M&I and Customer are unable to agree upon the terms for renewal of this Agreement at least six (6) months prior to the expiration of the Term, then Customer may, at its option, renew this Agreement for one (1) twelve month period at the then-current terms and conditions of this Agreement.']",12 months,[],,"['The validity, construction and interpretation of this Agreement and the rights and duties of the parties hereto shall be governed by the internal laws of the State of Wisconsin, excluding its principles of conflict of laws.']",Wisconsin
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT.PDF,['TECHNOLOGY OUTSOURCING AGREEMENT'],TECHNOLOGY OUTSOURCING AGREEMENT,"['Metavante Corporation', 'Metavante', 'Customer', 'Oriental Financial Group Inc.']","Oriental Financial Group Inc. (""Customer""); Melavante Corporation (""Melavante"")","['26 day of January, 2007']",1/26/07,"['26 day of January, 2007']",1/26/07,"['The term of this Agreement shall commence on the Effective Date and end on November 30, 2014 (the ""Initial Term"").']",11/30/14,"['Unless Customer notifies Metavante of its intent not to renew this Agreement in writing within a period of three (3) months following the Renewal Notice, this Agreement shall automatically renew at the end of the Initial Term on the same terms (including pricing terms) for one (1) twelve-month period.']",12 Months,"['Unless Customer notifies Metavante of its intent not to renew this Agreement in writing within a period of three (3) months following the Renewal Notice, this Agreement shall automatically renew at the end of the Initial Term on the same terms (including pricing terms) for one (1) twelve-month period.']",3 Months,"['The validity, construction and interpretation of this Agreement and the rights and duties of the parties hereto shall be governed by the internal laws of the State of New York, excluding its principles of conflict of laws.']",New York
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT.PDF,['OUTSOURCING AGREEMENT'],OUTSOURCING AGREEMENT,"['MMI', 'MODUS MEDIA INTERNATIONAL', 'DRAGON SYSTEMS', 'DRAGON SYSTEMS, INC.']","(Dragon Systems, Inc. (""Dragon Systems""); Modus Media International (""MMI"")",['19 Jan. 1998'],1/19/98,['19 Jan. 1998'],1/19/98,['This Agreement shall be valid for an indefinite period.'],perpetual,[],,[],,['Any lawsuit relating to any matter arising under this Agreement may be initiated in a State or Federal Court located in the Commonwealth of Massachusetts or in any court in the Netherlands having jurisdiction over the matter.'],Massachusetts; Netherlands
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT.PDF,['PHOTO RETOUCHING OUTSOURCING AGREEMENT'],PHOTO RETOUCHING OUTSOURCING AGREEMENT,"['DGT', 'Dolphin Industries Limited', 'Dolphin', 'DGT Corp.']","(DGT Corp. (""DGT""); Dolphin Industries Limited (""Dolphin"")","['1st  day of JUNE , 2006']",6/1/06,"['IN WITNESS WHEREOF the parties hereto have hereunto executed this Agreement on the 1st  day of JUNE , 2006 , but effective as of the Date of Commencement.']",,[],,[],,[],,"['This Agreement shall be governed by and construed in accordance with the laws of the State of Nevada, USA in force therein without regard to its conflict of law rules.']",Nevada
MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT.PDF,['Outsourcing Base Agreement'],Outsourcing Base Agreement,"['IBM', 'MSL', 'International Business Machines Corporation', ""Manufacturers' Services Western US Operations, Inc.""]","(International Business Machines Corporation (""IBM""); Manufacturers' Services Western US Operations, Inc. (""MSL""))",['Dated 05/05/98'],5/5/98,"['EFFECTIVE DATE\n\n                                  JUNE 1, 1998']",6/1/98,"['This Attachment and its Product Attachments shall become effective on the       Effective Date and shall continue for a period of three (3) years unless       terminated as provided in Section 5.0 of the Base Agreement.', 'This Agreement shall become effective on the Effective Date and shall       continue for a period of three (3) years unless terminated as provided in       Section 5.0.']",6/1/01,"['This       Attachment will automatically be renewed for periods of six (6) months       unless either party gives twelve (12) months written notice of its intent       to terminate this Agreement.', 'This Agreement will automatically be renewed for periods of       twelve (12) months unless either Party gives six (6) months written       notice of its intent to terminate this Agreement.']",successive 12 months; successive 6 months;,"['This       Attachment will automatically be renewed for periods of six (6) months       unless either party gives twelve (12) months written notice of its intent       to terminate this Agreement.', 'This Agreement will automatically be renewed for periods of       twelve (12) months unless either Party gives six (6) months written       notice of its intent to terminate this Agreement.']",6 months; 12 months,"['This Agreement and the performance of transactions under this Agreement       shall be governed by the substantive laws of the state of New York.', 'This Agreement and the rights and obligations of the parties hereto shall       be construed in accordance with the substantive laws of the State of New       York.']",New York
NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT.PDF,['OUTSOURCING AGREEMENT'],OUTSOURCING AGREEMENT,"['WYZZ Licensee, Inc.', 'WYZZ', 'WYZZ and Nexstar are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties"".', 'NEXSTAR', 'Nexstar Broadcasting of Peoria, L.L.C.', 'WYZZ, Inc.']","WYZZ, Inc. and WYZZ Licensee, Inc. (collectively ""WYZZ""); Peoria, L.L.C. (""NEXSTAR"")","['November 28, 2001']",11/28/01,"['December 1, 2001']",12/1/01,"['Unless earlier terminated in accordance with the terms hereof, the term of this Agreement shall end on the seventh anniversary of the date hereof.']",11/28/08,[],,[],,"['This Agreement shall be governed and construed in accordance with the laws of Maryland, without regard to its choice of law rules.']",Maryland
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT.PDF","['Order Form', 'ASP and Outsourcing Agreement']","ASP and Outsourcing Agreement

Order Form","['E.piphany', 'E.PIPHANY, INC.', 'High Speed Net Solutions, Inc.', 'E.piphany, Inc.', 'HIGH SPEED NET SOLUTIONS, INC.', 'HSNS']","E.PIPHANY, INC. (""E.piphany""); HIGH SPEED NET SOLUTIONS, INC. (""HSNS"")","['July __, 2000', '31 day of July, 2000']",07/31/2000; 07/[]/2000,"['JULY __,  2000.', '31 day of July, 2000']",07/31/2000; 07/[]/2000,['This Agreement shall have an initial term of three (3) years.'],07/[]/2003,[],,[],,"['This Agreement, and all matters arising out of or relating to this Agreement, shall be governed by the laws of the State of California.']",California
"UNITEDNATIONALBANCORP_03_03_1999-EX-99-Outsourcing Agreement with the BISYS Group, Inc..PDF","['United National Bancorp Enters Into                 Outsourcing Agreement with the BISYS Group, Inc.']","United National Bancorp Enters Into Outsourcing Agreement with the BISYS Group, Inc.","['United National Bank', 'UNBJ', 'BISYS', 'United National Bancorp', 'BISYS Group, Inc.']","United National Bancorp (""UNBJ""); United National Bank; BISYS Group, Inc. (""BISYS"")","['February 18, 1999']",2/18/99,[],,[],,[],,[],,[],
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.PDF,['Reseller Agreement'],Reseller Agreement,"['695014 B.C. Ltd. dba Galaxy Telecom', 'Telnet', 'Galaxy', 'Galaxy Telnet SRL']","695014 B.C. Ltd. dba Galaxy Telecom (""Galaxy""); Galaxy Telnet SRL (""Telnet"")","['1s t day of June, 2004.']",6/1/04,"['1s t day of June, 2004<omitted>""Effective Date"" means the date first written above']",6/1/04,['The initial term of this Agreement will be for two (2) year(s) commencing on the Effective Date.'],6/1/06,"['Thereafter, this agreement will renew automatically from year to year unless cancelled in writing by either Party giving the other written notice of such cancellation a minimum of 60 days before the end of the then current term.']",successive 1 year,"['Thereafter, this agreement will renew automatically from year to year unless cancelled in writing by either Party giving the other written notice of such cancellation a minimum of 60 days before the end of the then current term.']",60 days,"['This Agreement shall be governed by and construed in accordance with the laws of the Province of British Columbia and the federal laws of Canada applicable therein, excluding its conflict-of-laws rules.']","British Columbia, Canada"
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT.PDF,['Distribution Agreement'],Distribution Agreement,"['AEIS', 'American Express Incentive Services, L.L.C.', 'Schoolpop, Inc.', 'Schoolpop']","American Express Incentive Services, L.L.C. (""AEIS""); Schoolpop, Inc. (""Schoolpop"")",[],,"['This Agreement is effective as of August 1, 2004, (the ""Effective Date"") and shall terminate on July 31, 2009, (the ""Termination Date"") unless earlier terminated or extended as provided for herein.']",8/1/04,"['This Agreement is effective as of August 1, 2004, (the ""Effective Date"") and shall terminate on July 31, 2009, (the ""Termination Date"") unless earlier terminated or extended as provided for herein.']",7/31/09,[],,[],,"['This Agreement shall be deemed to have been made and executed                   in the State of Missouri and any dispute arising thereunder                   shall be resolved in accordance with the laws of the State of                   Missouri, without reference to its rules governing conflicts                   of law.', 'This Agreement shall be subject to and governed by the laws of the          State of Missouri, USA.']",Missouri
MTITECHNOLOGYCORP_11_16_2004-EX-10.102-Reseller Agreement Premier Addendum.PDF,['RESELLER AGREEMENT'],RESELLER AGREEMENT,"['McDATA', 'McDATA CORPORATION', 'RESELLER', 'MTI TECHNOLOGY CORPORATION']","McDATA Corporation (""McDATA""); MTI Technology Corporation (""Reseller"")",['9/29/04'],9/29/04,"['THE EFFECTIVE DATE OF THIS RESELLER AGREEMENT SHALL BE: Sept 29, 2004']",9/29/04,['The initial term of this Agreement shall be for a period of one (1) year from the Effective Date unless sooner terminated pursuant to the termination provisions herein.'],9/29/05,"['Thereafter, this Agreement automatically renews for successive terms of one (1) year.']",successive 1 year,[],,['This Agreement shall be governed by and construed in accordance with the laws of the State of Colorado excluding its choice of law provisions.'],Colorado
"OMINTO,INC_03_29_2004-EX-10-RESELLER AGREEMENT.PDF",['RESELLER AGREEMENT'],RESELLER AGREEMENT,"['RESELLER', 'MEDIANET GROUP TECHNOLOGIES', 'MediaNet Group Technologies, Inc.', 'International Direct Response, Inc.']","MediaNet Group Technologies, Inc. (""MEDIANET GROUP TECHNOLOGIES""); International Direct Response, Inc. (""RESELLER"")","['19 day of March, 2004']",3/19/04,"['19 day of March, 2004']",3/19/04,"['The term of this Agreement shall commence on the Effective Date      and continue for a period of 1 year after the Effective Date, unless      earlier terminated as set forth herein (the ""TERM"").']",3/19/05,"['This Agreement shall      renew for successive 1-year periods, after the initial 1 Year Term, if      agreed by both parties in writing within 30 days of license expiration.']",successive 1 year,[],,"['The laws of the State of Florida shall govern this      Agreement, without reference to conflicts of law provisions.']",Florida
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2.pdf,['Amendment n° 01   to the Global Maintenance Agreement ref. DS/C-3957/14 Issue 7'],Amendment n° 01   to the Global Maintenance Agreement ref. DS/C-3957/14 Issue 7,"['Hereinafter individually referred to as the ""Party"" or collectively as the ""Parties""', 'AZUL LINHAS AÉREAS BRASILEIRAS S/A', 'AVIONS DE TRANSPORT REGIONAL, G.I.E', 'AZUL', 'ATR', '""Repairer\'', 'Company']","AZUL LINHAS AÉREAS BRASILEIRAS S/A (""Company"", ""AZUL""); AVIONS DE TRANSPORT REGIONAL, G.I.E. (“Repairer”, “ATR”); AZUL LINHAS AÉREAS BRASILEIRAS and AVIONS DE TRANSPORT REGIONAL, G.I.E. (individually referred to as the “Party” or collectively as the “Parties”)","['January 6th, 2016']",1/6/16,"['This Amendment shall enter into force on the date of its signature by both Parties and, unless otherwise agreed upon in writing by the Parties through a subsequent amendment to the GMA, shall remain in force for the term of the referenced GMA.<omitted>January 6th, 2016']",1/6/16,"['This Amendment shall enter into force on the date of its signature by both Parties and, unless otherwise agreed upon in writing by the Parties through a subsequent amendment to the GMA, shall remain in force for the term of the referenced GMA.']",,[],,[],,"['Pursuant to and in accordance with Section 5-1401 of the New York General Obligations Law, the Parties hereto agree that this Amendment in all respects, and any claim or cause of action based upon or arising out of this Amendment, or any dealing between the Parties relating to the subject matter of this Amendment or the transactions contemplated hereby or the Company/Repairer relationship being established, shall be governed by, and construed in accordance with, the laws of the State of New York, U.S.A. as applied to contracts to be performed wholly within the State of New York (Exclusive of Section 7-101 of the New York General Obligations Law which is inapplicable to this Amendment).']",New York
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.pdf,['GLOBAL MAINTENANCE AGREEMENT ('],GLOBAL MAINTENANCE AGREEMENT (,"['the ""Repairer""or ""ATR"",', 'Hereinafter individually referred to as the ""Party"" or collectively as the ""Parties"", as the context requires.', 'AZUL LINHAS AÉREAS BRASILEIRAS S/A', '""Company"" or ""AZUL"",', 'AVIONS DE TRANSPORT REGIONAL']","AZUL LINHAS AÉREAS BRASILEIRAS S/A (""Company"", ""AZUL""); AVIONS DE TRANSPORT REGIONAL, G.I.E. (“Repairer”, “ATR”); AZUL LINHAS AÉREAS BRASILEIRAS and AVIONS DE TRANSPORT REGIONAL, G.I.E. (individually referred to as the “Party” or collectively as the “Parties”)",['March 9th 2015'],3/9/15,[],,"['The Agreement shall end on the End Date without any further action, unless otherwise provided under this Agreement.', '""End Date""\n\n\n\nmeans the date on which this Agreement is terminated or expires, and shall be the earlier to occur of the following, as appropriate:   (i) the end of the Initial Term as defined in Clause 3.1of this Agreement; or,   (ii) the end of the term of each annual renewal of this Agreement as per Clause 3.2 of this Agreement; or,   (iii) the date on which all or part of this Agreement is terminated as per Clause 16 (""Termination"");', 'The Agreement enters into force on the Signing Date; it will have a duration of [*****] as from the Start Date (the ""Initial Term"").']",,"['Upon expiry of the Initial Term, this Agreement [*****] unless a Notice of non-renewal is given by either Party to the other Party [*****] prior to the expiry of the Initial Term or the end of a renewal period, if any.']",,"['Upon expiry of the Initial Term, this Agreement [*****] unless a Notice of non-renewal is given by either Party to the other Party [*****] prior to the expiry of the Initial Term or the end of a renewal period, if any.']",,"['Pursuant to and in accordance with Section 5-1401 of the New York General Obligations Law, the Parties hereto agree that this Agreement in all respects, and any claim or cause of action based upon or arising out of this Agreement, or any dealing between the Parties<omitted>relating to the subject matter of this Agreement or the transactions contemplated hereby or the Company/Repairer relationship being established, shall be governed by, and construed in accordance with, the laws of the State of New York, U.S.A. as applied to contracts to be performed wholly within the State of New York (Exclusive of Section 7-101 of the New York General Obligations Law which is inapplicable to this Agreement).']",New York
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.pdf,"['Customization Schedule', 'Software License, Customization and Maintenance Agreement']","Customization Schedule

Software License, Customization and Maintenance Agreement","['<<enter Company Name>>', 'Bank of America', 'Supplier', 'Bank of America, N.A.']","Bank of America, N.A. (""Bank of America""); Supplier (""Supplier"")",[],,[],,[],,[],,[],,[],
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.pdf,"['SCHEDULE TO Software License, Customization and Maintenance Agreement']","SCHEDULE TO Software License, Customization and Maintenance Agreement","['Bank of America', 'Bank of America, N. A', 'Cardlytics, Inc.', 'Supplier']","Cardlytics, Inc. (""Supplier""); Bank of America, N.A (""Bank of America)",['3/4/11'],3/4/11,"['March 3, 2011']",3/3/11,[],,[],,[],,[],
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.pdf,"['Software License, Customization and Maintenance Agreement', 'Product License Schedule']","Product License Schedule

Software License, Customization and Maintenance Agreement","['Cardlytics,', 'Bank of America', 'Supplier', 'Bank of America, N.A.']","Bank of America, N.A. (""Bank of America""); Cardlytics, (""Supplier"")",[],,[],,['The first paid (Initial) Maintenance Term shall commence upon expiration of the Warranty Period and shall continue for twelve (12) months thereafter.'],,"['Thereafter, the Maintenance Term shall automatically renew for successive period, 12 months, on the terms and conditions of this Agreement unless Bank of America terminates Maintenance Services pursuant to this Agreement.']",successive 12 months,[],,[],
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.pdf,"['Software License, Customization and Maintenance Agreement']"," Software License, Customization and Maintenance Agreement","['Bank of America', 'Cardlytics, Inc.', 'Supplier', 'Bank of America, N.A.']","Cardlytics, Inc. (“Supplier”);  Bank of America, N.A. (“Bank of America”);",['11/4/10'],11/4/10,['11/4/10'],11/4/10,"['This Agreement shall apply and remain in effect from the Effective Date and perpetually thereafter unless terminated pursuant to the Section entitled ""Termination.""']",perpetual,[],,[],,"['This Agreement shall be governed by the internal laws, and not by the laws regarding conflicts of laws, of the State of North Carolina.']",North Carolina
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT1.pdf,['AGENCY AGREEMENT'],AGENCY AGREEMENT,"['Kes 7 Capital Inc', 'Dundee Securities Ltd', 'Corporation', '(collectively with the Lead Agent, the ""Agents"" and each individually an ""Agent"")', 'Bloom Burton & Co. Ltd.', 'Lead Agent', 'Tribute Pharmaceuticals Canada Inc']","Dundee Securities Ltd.(""Lead Agent""); Kes 7 Capital Inc. and Bloom Burton & Co. Ltd. (collectively with the Lead Agent, ""Agents"" and each individually an ""Agent""); Tribute Pharmaceuticals Canada Inc. (""Corporation"")","['May 21, 2015']",5/21/15,[],,[],,[],,[],,['This Agreement shall be governed by and construed in accordance with the laws of the Province of Ontario and the federal laws of Canada applicable in the Province of Ontario.'],"Ontario, Canada"
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2.pdf,"[""AGENTS' CERTIFICATE""]",AGENTS’ CERTIFICATE,"['Agent', 'U.S. Affiliate', '[ ]', 'Tribute Pharmaceuticals Inc.', 'Corporation', 'U.S. registered broker-dealer affiliate of the Agen']","Tribute Pharmaceuticals Inc. (""Corporation""); [] (""Agent""); [] (""U.S. Affiliate""); U.S. registered broker-dealer affiliate of the Agent","[', 2015.']",[]/[]/2015,[],,[],,[],,[],,[],
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT.PDF,['Supply Agreement'],Supply Agreement,"['MediWound Ltd.', 'CBC', 'MediWound', 'Challenge Bioproducts Corporation Ltd.']","MediWound Ltd. (""MediWound""); Challenge Bioproducts Corporation Ltd. (""CBC"")","['11 day of January, 2001']",1/11/01,"['The date upon which MediWound shall have acknowledged in writing to CBC that the Conditions Precedent have all been met shall be the ""Effective Date"".']",,[],,[],,[],,"['This Agreement is made under and subject to the provision of the substantive laws of the State of New York, without giving effect to its conflict of law rules.']",New York
SEASPINEHOLDINGSCORP_10_10_2018-EX-10.1-SUPPLY AGREEMENT.PDF,['SUPPLY AGREEMENT'],SUPPLY AGREEMENT,"['PcoMed', 'Integra LifeSciences Corporation', 'Integra', 'PcoMed, LLC']","Integra LifeSciences Corporation (""Integra""); PcoMed, LLC (""PcoMed"")","['15th day of May, 2013']",5/15/13,"['15th day of May, 2013']",5/15/13,"['The initial term of this Agreement (the ""Initial Term"") shall commence on the Effective Date and shall end on the date that payment is due for Minimum Payment Period 7, pursuant to Section 2.4 hereof and as set forth in Attachment B hereof, unless earlier terminated as provided herein.']",,[],,[],,['This Agreement shall be construed and enforced in accordance with the laws of the State of New Jersey.'],New Jersey
PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT.PDF,['SUPPLY AGREEMENT'],SUPPLY AGREEMENT,"['PHILIPS MEDICAL SYSTEMS NEDERLAND B.V.', 'Customer and Philips hereinafter also collectively referred to as the ""Parties"" and individually as a ""Party"".', 'PROFOUND MEDICAL INC.', 'Customer', 'Philips']","Profound Medical Inc. (""Customer""); Philips Medical Systems Nederland B.V. (""Philips""); (Customer and Philips hereinafter also collectively referred to as the “Parties” and individually as a “Party”)","['July 31, 2017']",7/31/17,"['July 31, 2017']",7/31/17,"['This Agreement shall come into force on the Effective Date and shall remain in force and effect for a period of [Redacted - Commercially Sensitive - Term Details] , unless this Agreement is extended or previously terminated in accordance with this clause 12, pursuant to clause 15.1 (Force Majeure), or (ii) by the mutual written consent of the Parties (the ""Term"").']",[]/[]/[],[],,[],,"['This Agreement (including any dispute hereunder) and the documents to be entered into pursuant to it, save as expressly otherwise provided therein, will be governed by and construed in accordance with the Laws of the Netherlands']",Netherlands
